Control_activity,Salinity_activity,,,Treatment,Activity
0.050807823,0.055909864,,,Salinity,0.055909864
0.052083333,0.011054422,,,Salinity,0.011054422
0.060586735,0.032738095,,,Salinity,0.032738095
0.024980484,0.086455894,,,Salinity,0.086455894
0.030444965,0.121194379,,,Salinity,0.121194379
0.224824356,0.053278689,,,Salinity,0.053278689
0.05052879,0.055229142,,,Salinity,0.055229142
0.016451234,0.022522523,,,Salinity,0.022522523
0.085389738,0.048570309,,,Salinity,0.048570309
0.159139785,0.142521994,,,Salinity,0.142521994
0.106549365,0.018377322,,,Salinity,0.018377322
0.037927664,0.126815862,,,Salinity,0.126815862
0.160581076,0.020612485,,,Salinity,0.020612485
0.026501767,0.026305457,,,Salinity,0.026305457
0.079897919,,,,Control,0.050807823
,,,,Control,0.052083333
,,,,Control,0.060586735
,,,,Control,0.024980484
,,,,Control,0.030444965
,,,,Control,0.224824356
,,,,Control,0.05052879
,,,,Control,0.016451234
,,,,Control,0.085389738
,,,,Control,0.159139785
,,,,Control,0.106549365
,,,,Control,0.037927664
,,,,Control,0.160581076
,,,,Control,0.026501767
,,,,Control,0.079897919
