Days,Survival,Salinity
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,0.9,0
6.5,0.9,0
7,0.9,0
8,0.9,0
9,0.9,0
10,0.9,0
11,0.9,0
12,0.9,0
13,0.9,0
14,0.9,0
15,0.9,0
16,0.9,0
17,0.9,0
18,0.9,0
18.5,0.9,0
19,0.9,0
20,0.9,0
21,0.9,0
22,0.9,0
23,0.9,0
24,0.9,0
25,0.9,0
26,0.9,0
27,0.9,0
28,0.9,0
29,0.9,0
30,0.9,0
0,0.9,1
1,0.9,1
2,0.8,1
3,0.8,1
4,0.8,1
5,0.7,1
6,0.7,1
6.5,0.7,1
7,0.7,1
8,0.7,1
9,0.6,1
10,0.6,1
11,0.6,1
12,0.6,1
13,0.5,1
14,0.5,1
15,0.5,1
16,0.4,1
17,0.4,1
18,0.4,1
18.5,0.4,1
19,0.4,1
20,0.4,1
21,0.4,1
22,0.4,1
23,0.3,1
24,0.3,1
25,0.3,1
26,0.3,1
27,0.3,1
28,0.3,1
29,0.3,1
30,0.3,1
0,1,2
1,1,2
2,1,2
3,1,2
4,0.9,2
5,0.9,2
6,0.8,2
6.5,0.8,2
7,0.8,2
8,0.8,2
9,0.6,2
10,0.5,2
11,0.5,2
12,0.4,2
13,0.3,2
14,0.3,2
15,0.3,2
16,0.2,2
17,0.2,2
18,0.2,2
18.5,0.1,2
19,0.1,2
20,0.1,2
21,0,2
22,0,2
23,0,2
24,0,2
25,0,2
26,0,2
27,0,2
28,0,2
29,0,2
30,0,2
0,1,3
1,1,3
2,1,3
3,1,3
4,0.9,3
5,0.9,3
6,0.8,3
6.5,0.6,3
7,0.6,3
8,0.5,3
9,0.5,3
10,0.4,3
11,0.4,3
12,0.3,3
13,0.3,3
14,0.2,3
15,0.2,3
16,0.1,3
17,0.1,3
18,0.1,3
18.5,0.1,3
19,0.1,3
20,0,3
21,0,3
22,0,3
23,0,3
24,0,3
25,0,3
26,0,3
27,0,3
28,0,3
29,0,3
30,0,3
