Trial,Container,Treatment,Hours,Consumed,,,,,,,
1,11,1,0,1,,,,,,,
1,11,1,1,2,,,,,,,
1,11,1,2,2,,,,,,,
1,11,1,3,3,,,,,,,
1,11,1,4,3,,,,,,,
1,11,1,24,3,,,,,,,
1,12,0,0,0,,,,,,,
1,12,0,1,2,,,,,,,
1,12,0,2,2,,,,,,,
1,12,0,3,2,,,,,,,
1,12,0,4,2,,,,,,,
1,12,0,24,3,,,,,,,
1,18,1,0,1,,,,,,,
1,18,1,1,1,,,,,,,
1,18,1,2,1,,,,,,,
1,18,1,3,1,,,,,,,
1,18,1,4,1,,,,,,,
1,18,1,24,3,,,,,,,
1,23,1,0,0,,,,,,,
1,23,1,1,2,,,,,,,
1,23,1,2,2,,,,,,,
1,23,1,3,2,,,,,,,
1,23,1,4,2,,,,,,,
1,23,1,24,3,,,,,,,
1,25,0,0,0,,,,,,,
1,25,0,1,1,,,,,,,
1,25,0,2,1,,,,,,,
1,25,0,3,1,,,,,,,
1,25,0,4,1,,,,,,,
1,25,0,24,2,,,,,,,
1,29,0,0,0,,,,,,,
1,29,0,1,1,,,,,,,
1,29,0,2,1,,,,,,,
1,29,0,3,1,,,,,,,
1,29,0,4,1,,,,,,,
1,29,0,24,2,,,,,,,
2,9,0,0,0,,,,,,,
2,9,0,1,1,,,,,,,
2,9,0,2,1,,,,,,,
2,9,0,3,1,,,,,,,
2,9,0,4,1,,,,,,,
2,9,0,24,2,,,,,,,
2,10,1,0,0,,,,,,,
2,10,1,1,1,,,,,,,
2,10,1,2,1,,,,,,,
2,10,1,3,1,,,,,,,
2,10,1,4,2,,,,,,,
2,10,1,24,3,,,,,,,
2,22,1,0,0,,,,,,,
2,22,1,1,1,,,,,,,
2,22,1,2,1,,,,,,,
2,22,1,3,1,,,,,,,
2,22,1,4,1,,,,,,,
2,22,1,24,2,,,,,,,
2,27,0,0,0,,,,,,,
2,27,0,1,0,,,,,,,
2,27,0,2,1,,,,,,,
2,27,0,3,1,,,,,,,
2,27,0,4,1,,,,,,,
2,27,0,24,2,,,,,,,
2,32,1,0,0,,,,,,,
2,32,1,1,0,,,,,,,
2,32,1,2,1,,,,,,,
2,32,1,3,1,,,,,,,
2,32,1,4,1,,,,,,,
2,32,1,24,3,,,,,,,
2,40,0,0,0,,,,,,,
2,40,0,1,1,,,,,,,
2,40,0,2,1,,,,,,,
2,40,0,3,1,,,,,,,
2,40,0,4,1,,,,,,,
2,40,0,24,2,,,,,,,
3,38,0,0,0,,,,,,,
3,38,0,1,0,,,,,,,
3,38,0,2,0,,,,,,,
3,38,0,3,0,,,,,,,
3,38,0,4,0,,,,,,,
3,38,0,24,2,,,,,,,
3,42,0,0,0,,,,,,,
3,42,0,1,0,,,,,,,
3,42,0,2,0,,,,,,,
3,42,0,3,0,,,,,,,
3,42,0,4,1,,,,,,,
3,42,0,24,1,,,,,,,
3,39,0,0,0,,,,,,,
3,39,0,1,1,,,,,,,
3,39,0,2,1,,,,,,,
3,39,0,3,1,,,,,,,
3,39,0,4,1,,,,,,,
3,39,0,24,1,,,,,,,
3,31,1,0,0,,,,,,,
3,31,1,1,0,,,,,,,
3,31,1,2,1,,,,,,,
3,31,1,3,1,,,,,,,
3,31,1,4,1,,,,,,,
3,31,1,24,2,,,,,,,
3,35,1,0,0,,,,,,,
3,35,1,1,0,,,,,,,
3,35,1,2,1,,,,,,,
3,35,1,3,1,,,,,,,
3,35,1,4,1,,,,,,,
3,35,1,24,2,,,,,,,
3,30,1,0,1,,,,,,,
3,30,1,1,2,,,,,,,
3,30,1,2,2,,,,,,,
3,30,1,3,2,,,,,,,
3,30,1,4,2,,,,,,,
3,30,1,24,3,,,,,,,
4,41,0,0,0,,,,,,,
4,41,0,1,0,,,,,,,
4,41,0,2,0,,,,,,,
4,41,0,3,0,,,,,,,
4,41,0,4,0,,,,,,,
4,41,0,24,1,,,,,,,
4,43,0,0,0,,,,,,,
4,43,0,1,0,,,,,,,
4,43,0,2,0,,,,,,,
4,43,0,3,0,,,,,,,
4,43,0,4,0,,,,,,,
4,43,0,24,1,,,,,,,
4,7,1,0,0,,,,,,,
4,7,1,1,0,,,,,,,
4,7,1,2,0,,,,,,,
4,7,1,3,1,,,,,,,
4,7,1,4,1,,,,,,,
4,7,1,24,3,,,,,,,
4,3,0,0,0,,,,,,,
4,3,0,1,0,,,,,,,
4,3,0,2,0,,,,,,,
4,3,0,3,0,,,,,,,
4,3,0,4,0,,,,,,,
4,3,0,24,0,,,,,,,
4,46,1,0,0,,,,,,,
4,46,1,1,0,,,,,,,
4,46,1,2,0,,,,,,,
4,46,1,3,0,,,,,,,
4,46,1,4,0,,,,,,,
4,46,1,24,0,,,,,,,
5,19,0,0,0,,,,,,,
5,19,0,1,1,,,,,,,
5,19,0,2,2,,,,,,,
5,19,0,3,2,,,,,,,
5,19,0,4,2,,,,,,,
5,19,0,24,3,,,,,,,
5,6,0,0,0,,,,,,,
5,6,0,1,1,,,,,,,
5,6,0,2,1,,,,,,,
5,6,0,3,2,,,,,,,
5,6,0,4,2,,,,,,,
5,6,0,24,2,,,,,,,
5,37,0,0,0,,,,,,,
5,37,0,1,0,,,,,,,
5,37,0,2,0,,,,,,,
5,37,0,3,0,,,,,,,
5,37,0,4,0,,,,,,,
5,37,0,24,1,,,,,,,
5,14,1,0,1,,,,,,,
5,14,1,1,2,,,,,,,
5,14,1,2,2,,,,,,,
5,14,1,3,2,,,,,,,
5,14,1,4,2,,,,,,,
5,14,1,24,3,,,,,,,
5,28,1,0,0,,,,,,,
5,28,1,1,0,,,,,,,
5,28,1,2,0,,,,,,,
5,28,1,3,0,,,,,,,
5,28,1,4,0,,,,,,,
