Control_activity,Salinity_activity,,,Treatment,Activity
0.024872449,0.024447279,,,Salinity,0.024447279
0.153258427,0.065263605,,,Salinity,0.065263605
0.022959184,0.123937075,,,Salinity,0.123937075
0.120413739,0.070257611,,,Salinity,0.070257611
0.138818778,0.017174083,,,Salinity,0.017174083
0.011319282,0.055035129,,,Salinity,0.055035129
0.033098316,0.092509122,,,Salinity,0.092509122
0.085389738,0.051116334,,,Salinity,0.051116334
0.077751665,0.023305915,,,Salinity,0.023305915
0.016617791,0.043069695,,,Salinity,0.043069695
0.048875855,0.078201369,,,Salinity,0.078201369
0.077810362,0.069689831,,,Salinity,0.069689831
0.068511975,0.037102473,,,Salinity,0.037102473
0.039261877,0.050451512,,,Salinity,0.050451512
0.112877896,,,,Control,0.024872449
,,,,Control,0.153258427
,,,,Control,0.022959184
,,,,Control,0.120413739
,,,,Control,0.138818778
,,,,Control,0.011319282
,,,,Control,0.033098316
,,,,Control,0.085389738
,,,,Control,0.077751665
,,,,Control,0.016617791
,,,,Control,0.048875855
,,,,Control,0.077810362
,,,,Control,0.068511975
,,,,Control,0.039261877
,,,,Control,0.112877896
